Week_Number,Sen_I,Sen_D,Sen_S,Close_I,Close_D,Close_S
Week_186,0,1,0,0,1,0
Week_187,0,1,0,0,1,0
Week_188,0,1,0,0,1,0
Week_189,0,1,0,0,1,0
Week_190,0,1,0,0,1,0
Week_191,0,1,0,0,1,0
Week_192,0,1,0,0,1,0
Week_193,0,1,0,0,1,0
Week_194,0,1,0,0,1,0
Week_195,0,1,0,0,1,0
Week_196,0,1,0,0,1,0
Week_197,0,1,0,0,1,0
Week_198,0,1,0,0,1,0
Week_199,0,1,0,0,1,0
Week_200,0,1,0,0,1,0
Week_201,0,1,0,0,1,0
Week_202,0,1,0,0,1,0
Week_203,0,1,0,0,1,0
Week_204,0,1,0,0,1,0
Week_205,0,1,0,0,1,0
Week_206,0,1,0,0,1,0
Week_207,0,1,0,0,1,0
Week_208,0,1,0,0,1,0
Week_209,0,1,0,0,1,0
Week_210,0,1,0,0,1,0
Week_211,0,1,0,0,1,0
Week_212,0,1,0,0,1,0
Week_213,0,1,0,0,1,0
Week_214,0,1,0,0,1,0
Week_215,0,1,0,0,1,0
Week_216,0,1,0,0,1,0
Week_217,0,1,0,1,0,0
Week_218,0,1,0,1,0,0
Week_219,0,1,0,1,0,0
Week_220,0,1,0,1,0,0
Week_221,0,1,0,1,0,0
Week_222,0,1,0,1,0,0
Week_223,0,1,0,1,0,0
Week_224,0,1,0,1,0,0
Week_225,0,1,0,1,0,0
Week_226,0,1,0,1,0,0
Week_227,0,1,0,1,0,0
Week_228,0,1,0,1,0,0
Week_229,1,0,0,1,0,0
Week_230,1,0,0,1,0,0
Week_231,1,0,0,1,0,0
Week_232,1,0,0,1,0,0
Week_233,1,0,0,1,0,0
Week_234,1,0,0,1,0,0
Week_235,1,0,0,1,0,0
Week_236,1,0,0,1,0,0
Week_237,1,0,0,1,0,0
Week_238,1,0,0,1,0,0
Week_239,1,0,0,1,0,0
Week_240,1,0,0,1,0,0
Week_241,1,0,0,1,0,0
Week_242,1,0,0,1,0,0
Week_243,1,0,0,1,0,0
Week_244,1,0,0,1,0,0
Week_245,1,0,0,1,0,0
Week_246,1,0,0,1,0,0
Week_247,1,0,0,1,0,0
Week_248,1,0,0,1,0,0
Week_249,1,0,0,1,0,0
Week_250,1,0,0,1,0,0
Week_251,1,0,0,1,0,0
Week_252,1,0,0,1,0,0
Week_253,1,0,0,1,0,0
Week_254,1,0,0,1,0,0
Week_255,1,0,0,1,0,0
Week_256,1,0,0,1,0,0
Week_257,1,0,0,1,0,0
Week_258,1,0,0,1,0,0
Week_259,1,0,0,1,0,0
Week_260,1,0,0,1,0,0
Week_261,1,0,0,1,0,0
Week_262,1,0,0,1,0,0
Week_263,1,0,0,1,0,0
Week_264,1,0,0,1,0,0
Week_265,0,1,0,1,0,0
Week_266,0,1,0,1,0,0
Week_267,0,1,0,1,0,0
Week_268,0,1,0,1,0,0
Week_269,0,1,0,1,0,0
Week_270,0,1,0,1,0,0
Week_271,0,1,0,1,0,0
Week_272,0,1,0,1,0,0
Week_273,0,1,0,1,0,0
Week_274,0,1,0,1,0,0
Week_275,0,1,0,1,0,0
Week_276,0,1,0,1,0,0
Week_277,0,1,0,1,0,0
Week_278,0,1,0,1,0,0
Week_279,0,1,0,1,0,0
Week_280,0,1,0,1,0,0
Week_281,0,1,0,1,0,0
Week_282,0,1,0,1,0,0
Week_283,0,1,0,1,0,0
Week_284,0,1,0,1,0,0
Week_285,0,1,0,1,0,0
Week_286,0,1,0,1,0,0
Week_287,0,1,0,1,0,0
Week_288,0,1,0,1,0,0
Week_289,0,1,0,1,0,0
Week_290,0,1,0,1,0,0
Week_291,0,1,0,1,0,0
Week_292,0,1,0,1,0,0
Week_293,0,1,0,1,0,0
Week_294,0,1,0,1,0,0
Week_295,0,1,0,1,0,0
Week_296,0,1,0,1,0,0
Week_297,0,1,0,1,0,0
Week_298,0,1,0,1,0,0
Week_299,0,1,0,1,0,0
Week_300,0,1,0,1,0,0
Week_301,1,0,0,1,0,0
Week_302,1,0,0,1,0,0
Week_303,1,0,0,1,0,0
Week_304,1,0,0,1,0,0
Week_305,1,0,0,1,0,0
Week_306,1,0,0,1,0,0
Week_307,1,0,0,1,0,0
Week_308,1,0,0,1,0,0
Week_309,1,0,0,1,0,0
Week_310,1,0,0,1,0,0
Week_311,1,0,0,1,0,0
Week_312,1,0,0,1,0,0
Week_313,1,0,0,1,0,0
Week_314,1,0,0,1,0,0
Week_315,1,0,0,1,0,0
Week_316,1,0,0,1,0,0
Week_317,1,0,0,1,0,0
Week_318,1,0,0,1,0,0
Week_319,1,0,0,1,0,0
Week_320,1,0,0,1,0,0
Week_321,1,0,0,1,0,0
Week_322,1,0,0,1,0,0
Week_323,1,0,0,1,0,0
Week_324,1,0,0,1,0,0
Week_325,0,1,0,0,1,0
Week_326,0,1,0,0,1,0
Week_327,0,1,0,0,1,0
Week_328,0,1,0,0,1,0
Week_329,0,1,0,0,1,0
Week_330,0,1,0,0,1,0
Week_331,0,1,0,0,1,0
Week_332,0,1,0,0,1,0
Week_333,0,1,0,0,1,0
Week_334,0,1,0,0,1,0
Week_335,0,1,0,0,1,0
Week_336,0,1,0,0,1,0
Week_337,0,1,0,1,0,0
Week_338,0,1,0,1,0,0
Week_339,0,1,0,1,0,0
Week_340,0,1,0,1,0,0
Week_341,0,1,0,1,0,0
Week_342,0,1,0,1,0,0
Week_343,0,1,0,1,0,0
Week_344,0,1,0,1,0,0
Week_345,0,1,0,1,0,0
Week_346,0,1,0,1,0,0
Week_347,0,1,0,1,0,0
Week_348,0,1,0,1,0,0
Week_349,1,0,0,0,1,0
Week_350,1,0,0,0,1,0
Week_351,1,0,0,0,1,0
Week_352,1,0,0,0,1,0
Week_353,1,0,0,0,1,0
Week_354,1,0,0,0,1,0
Week_355,1,0,0,0,1,0
Week_356,1,0,0,0,1,0
Week_357,1,0,0,0,1,0
Week_358,1,0,0,0,1,0
Week_359,1,0,0,0,1,0
Week_360,1,0,0,0,1,0
Week_361,1,0,0,1,0,0
Week_362,1,0,0,1,0,0
Week_363,1,0,0,1,0,0
Week_364,1,0,0,1,0,0
Week_365,1,0,0,1,0,0
Week_366,1,0,0,1,0,0
Week_367,1,0,0,1,0,0
Week_368,1,0,0,1,0,0
Week_369,1,0,0,1,0,0
Week_370,1,0,0,1,0,0
Week_371,1,0,0,1,0,0
Week_372,1,0,0,1,0,0
Week_373,1,0,0,1,0,0
Week_374,1,0,0,1,0,0
Week_375,1,0,0,1,0,0
Week_376,1,0,0,1,0,0
Week_377,1,0,0,1,0,0
Week_378,1,0,0,1,0,0
Week_379,1,0,0,1,0,0
Week_380,1,0,0,1,0,0
Week_381,1,0,0,1,0,0
Week_382,1,0,0,1,0,0
Week_383,1,0,0,1,0,0
Week_384,1,0,0,1,0,0
Week_385,0,1,0,1,0,0
Week_386,0,1,0,1,0,0
Week_387,0,1,0,1,0,0
Week_388,0,1,0,1,0,0
Week_389,0,1,0,1,0,0
Week_390,0,1,0,1,0,0
Week_391,0,1,0,1,0,0
Week_392,0,1,0,1,0,0
Week_393,0,1,0,1,0,0
Week_394,0,1,0,1,0,0
Week_395,0,1,0,1,0,0
Week_396,0,1,0,1,0,0
Week_397,1,0,0,1,0,0
Week_398,1,0,0,1,0,0
Week_399,1,0,0,1,0,0
Week_400,1,0,0,1,0,0
Week_401,1,0,0,1,0,0
Week_402,1,0,0,1,0,0
Week_403,1,0,0,1,0,0
Week_404,1,0,0,1,0,0
Week_405,1,0,0,1,0,0
Week_406,1,0,0,1,0,0
Week_407,1,0,0,1,0,0
Week_408,1,0,0,1,0,0
Week_409,0,1,0,0,1,0
Week_410,0,1,0,0,1,0
Week_411,0,1,0,0,1,0
Week_412,0,1,0,0,1,0
Week_413,0,1,0,0,1,0
Week_414,0,1,0,0,1,0
Week_415,0,1,0,0,1,0
Week_416,0,1,0,0,1,0
Week_417,0,1,0,0,1,0
Week_418,0,1,0,0,1,0
Week_419,0,1,0,0,1,0
Week_420,0,1,0,0,1,0
Week_421,0,1,0,0,1,0
Week_422,0,1,0,0,1,0
Week_423,0,1,0,0,1,0
Week_424,0,1,0,0,1,0
Week_425,0,1,0,0,1,0
Week_426,0,1,0,0,1,0
Week_427,0,1,0,0,1,0
Week_428,0,1,0,0,1,0
Week_429,0,1,0,0,1,0
Week_430,0,1,0,0,1,0
Week_431,0,1,0,0,1,0
Week_432,0,1,0,0,1,0
Week_433,1,0,0,1,0,0
Week_434,1,0,0,1,0,0
Week_435,1,0,0,1,0,0
Week_436,1,0,0,1,0,0
Week_437,1,0,0,1,0,0
Week_438,1,0,0,1,0,0
Week_439,1,0,0,1,0,0
Week_440,1,0,0,1,0,0
Week_441,1,0,0,1,0,0
Week_442,1,0,0,1,0,0
Week_443,1,0,0,1,0,0
Week_444,1,0,0,1,0,0
Week_445,1,0,0,1,0,0
Week_446,1,0,0,1,0,0
Week_447,1,0,0,1,0,0
Week_448,1,0,0,1,0,0
Week_449,1,0,0,1,0,0
Week_450,1,0,0,1,0,0
Week_451,1,0,0,1,0,0
Week_452,1,0,0,1,0,0
Week_453,1,0,0,1,0,0
Week_454,1,0,0,1,0,0
Week_455,1,0,0,1,0,0
Week_456,1,0,0,1,0,0
Week_457,1,0,0,1,0,0
Week_458,1,0,0,1,0,0
Week_459,1,0,0,1,0,0
Week_460,1,0,0,1,0,0
Week_461,1,0,0,1,0,0
Week_462,1,0,0,1,0,0
Week_463,1,0,0,1,0,0
Week_464,1,0,0,1,0,0
Week_465,1,0,0,1,0,0
Week_466,1,0,0,1,0,0
Week_467,1,0,0,1,0,0
Week_468,1,0,0,1,0,0
Week_469,0,1,0,1,0,0
Week_470,0,1,0,1,0,0
Week_471,0,1,0,1,0,0
Week_472,0,1,0,1,0,0
Week_473,0,1,0,1,0,0
Week_474,0,1,0,1,0,0
Week_475,0,1,0,1,0,0
Week_476,0,1,0,1,0,0
Week_477,0,1,0,1,0,0
Week_478,0,1,0,1,0,0
Week_479,0,1,0,1,0,0
Week_480,0,1,0,1,0,0
Week_481,1,0,0,1,0,0
Week_482,1,0,0,1,0,0
Week_483,1,0,0,1,0,0
Week_484,1,0,0,1,0,0
Week_485,1,0,0,1,0,0
Week_486,1,0,0,1,0,0
Week_487,1,0,0,1,0,0
Week_488,1,0,0,1,0,0
Week_489,1,0,0,1,0,0
Week_490,1,0,0,1,0,0
Week_491,1,0,0,1,0,0
Week_492,1,0,0,1,0,0
Week_493,0,1,0,1,0,0
Week_494,0,1,0,1,0,0
Week_495,0,1,0,1,0,0
Week_496,0,1,0,1,0,0
Week_497,0,1,0,1,0,0
Week_498,0,1,0,1,0,0
Week_499,0,1,0,1,0,0
Week_500,0,1,0,1,0,0
Week_501,0,1,0,1,0,0
Week_502,0,1,0,1,0,0
Week_503,0,1,0,1,0,0
Week_504,0,1,0,1,0,0
Week_505,1,0,0,1,0,0
Week_506,1,0,0,1,0,0
Week_507,1,0,0,1,0,0
Week_508,1,0,0,1,0,0
Week_509,1,0,0,1,0,0
Week_510,1,0,0,1,0,0
Week_511,1,0,0,1,0,0
Week_512,1,0,0,1,0,0
Week_513,1,0,0,1,0,0
Week_514,1,0,0,1,0,0
Week_515,1,0,0,1,0,0
Week_516,1,0,0,1,0,0
Week_517,0,1,0,0,1,0
Week_518,0,1,0,0,1,0
Week_519,0,1,0,0,1,0
Week_520,0,1,0,0,1,0
Week_521,0,1,0,0,1,0
Week_522,0,1,0,0,1,0
Week_523,0,1,0,0,1,0
Week_524,0,1,0,0,1,0
Week_525,0,1,0,0,1,0
Week_526,0,1,0,0,1,0
Week_527,0,1,0,0,1,0
Week_528,0,1,0,0,1,0
Week_529,1,0,0,0,1,0
Week_530,1,0,0,0,1,0
Week_531,1,0,0,0,1,0
Week_532,1,0,0,0,1,0
Week_533,1,0,0,0,1,0
Week_534,1,0,0,0,1,0
Week_535,1,0,0,0,1,0
Week_536,1,0,0,0,1,0
Week_537,1,0,0,0,1,0
Week_538,1,0,0,0,1,0
Week_539,1,0,0,0,1,0
Week_540,1,0,0,0,1,0
Week_541,1,0,0,0,1,0
Week_542,1,0,0,0,1,0
Week_543,1,0,0,0,1,0
Week_544,1,0,0,0,1,0
Week_545,1,0,0,0,1,0
Week_546,1,0,0,0,1,0
Week_547,1,0,0,0,1,0
Week_548,1,0,0,0,1,0
Week_549,1,0,0,0,1,0
Week_550,1,0,0,0,1,0
Week_551,1,0,0,0,1,0
Week_552,1,0,0,0,1,0
Week_553,0,1,0,1,0,0
Week_554,0,1,0,1,0,0
Week_555,0,1,0,1,0,0
Week_556,0,1,0,1,0,0
Week_557,0,1,0,1,0,0
Week_558,0,1,0,1,0,0
Week_559,0,1,0,1,0,0
Week_560,0,1,0,1,0,0
Week_561,0,1,0,1,0,0
Week_562,0,1,0,1,0,0
Week_563,0,1,0,1,0,0
Week_564,0,1,0,1,0,0
Week_565,0,1,0,1,0,0
Week_566,0,1,0,1,0,0
Week_567,0,1,0,1,0,0
Week_568,0,1,0,1,0,0
Week_569,0,1,0,1,0,0
Week_570,0,1,0,1,0,0
Week_571,0,1,0,1,0,0
Week_572,0,1,0,1,0,0
Week_573,0,1,0,1,0,0
Week_574,0,1,0,1,0,0
Week_575,0,1,0,1,0,0
Week_576,0,1,0,1,0,0
Week_577,0,1,0,0,1,0
Week_578,0,1,0,0,1,0
Week_579,0,1,0,0,1,0
Week_580,0,1,0,0,1,0
Week_581,0,1,0,0,1,0
Week_582,0,1,0,0,1,0
Week_583,0,1,0,0,1,0
Week_584,0,1,0,0,1,0
Week_585,0,1,0,0,1,0
Week_586,0,1,0,0,1,0
Week_587,0,1,0,0,1,0
Week_588,0,1,0,0,1,0
Week_589,1,0,0,1,0,0
Week_590,1,0,0,1,0,0
Week_591,1,0,0,1,0,0
Week_592,1,0,0,1,0,0
Week_593,1,0,0,1,0,0
Week_594,1,0,0,1,0,0
Week_595,1,0,0,1,0,0
Week_596,1,0,0,1,0,0
Week_597,1,0,0,1,0,0
Week_598,1,0,0,1,0,0
Week_599,1,0,0,1,0,0
Week_600,1,0,0,1,0,0
Week_601,1,0,0,1,0,0
Week_602,1,0,0,1,0,0
Week_603,1,0,0,1,0,0
Week_604,1,0,0,1,0,0
Week_605,1,0,0,1,0,0
Week_606,1,0,0,1,0,0
Week_607,1,0,0,1,0,0
Week_608,1,0,0,1,0,0
Week_609,1,0,0,1,0,0
Week_610,1,0,0,1,0,0
Week_611,1,0,0,1,0,0
Week_612,1,0,0,1,0,0
Week_613,0,0,1,0,0,1
Week_614,0,0,1,0,0,1
Week_615,0,0,1,0,0,1
Week_616,0,0,1,0,0,1
Week_617,0,0,1,0,0,1
Week_618,0,0,1,0,0,1
Week_619,0,0,1,0,0,1
Week_620,0,0,1,0,0,1
Week_621,0,0,1,0,0,1
Week_622,0,0,1,0,0,1
Week_623,0,0,1,0,0,1
Week_624,0,0,1,0,0,1
Week_625,0,0,0,0,0,0
Week_626,0,0,0,0,0,0
